id,country,production_id
tm376903,CL,39
tm376903,AR,12
ts81898,AU,19
ts81898,GB,3
ts56969,US,2
tm417055,US,2
tm894254,AU,19
tm894254,US,2
tm282910,JP,9
tm294696,TR,28
ts41948,CA,20
tm346334,GB,3
tm346334,IS,43
tm306811,US,2
tm306811,AU,19
tm313120,US,2
tm311815,US,2
tm314295,NL,41
tm314295,US,2
tm323300,US,2
tm320785,US,2
ts55231,US,2
ts56670,US,2
tm530822,US,2
tm319512,ES,18
tm314863,US,2
tm344336,FR,5
tm347095,FR,5
tm347095,US,2
tm414340,US,2
tm413558,BE,14
tm413558,KH,90
tm413558,FR,5
tm413558,LU,61
tm279017,US,2
tm368350,FR,5
tm368350,IN,4
tm368350,SG,74
tm372662,ES,18
tm344562,LB,10
tm347060,IN,4
ts52825,CN,54
ts41906,JP,9
tm339197,IN,4
tm348073,US,2
ts32460,TW,47
ts82189,JP,9
tm281935,US,2
tm434830,CA,20
tm313487,US,2
ts53346,US,2
tm457296,US,2
tm296203,TR,28
ts75620,KR,38
ts83999,GB,3
ts55581,KR,38
tm349656,AR,12
tm349656,BR,23
tm349656,DK,40
tm349656,FR,5
tm349656,DE,17
tm349656,PL,62
tm285712,US,2
tm368449,US,2
ts81208,US,2
tm325650,US,2
tm325650,CN,54
tm325650,AU,19
tm289181,US,2
ts81027,KR,38
tm327951,ID,51
tm425889,US,2
tm529723,IN,4
tm529733,IN,4
tm175364,IN,4
tm481846,XX,69
tm250247,,26
tm528287,,26
tm372066,US,2
ts53106,JP,9
ts53106,US,2
ts58307,CA,20
tm451222,SG,74
tm404690,US,2
ts57811,JP,9
tm370447,ES,18
ts56993,SE,42
tm376739,US,2
tm314677,MX,27
tm293867,US,2
tm481594,,26
tm481509,,26
tm528044,,26
tm528043,,26
tm200838,XX,69
tm362121,NL,41
tm362121,MX,27
tm461366,PL,62
tm228839,TR,28
tm298779,JP,9
tm366590,IN,4
tm366590,US,2
ts55966,US,2
ts55491,US,2
ts56768,ES,18
tm497383,US,2
tm497383,AL,93
tm497383,JO,56
tm497383,TH,46
tm336712,US,2
ts57148,US,2
tm424898,MX,27
tm424898,FI,67
tm417416,US,2
ts87465,GB,3
ts57120,US,2
tm286268,US,2
tm295349,MX,27
ts53936,TR,28
tm416620,FR,5
tm416620,ES,18
tm320817,IN,4
tm425732,US,2
tm430459,MX,27
ts82302,US,2
ts53399,CN,54
ts124246,IN,4
tm318200,US,2
tm414709,DE,17
tm414709,CA,20
tm414709,US,2
ts56125,MX,27
ts75341,JP,9
tm305227,MX,27
tm408890,ES,18
tm359658,ID,51
tm1019177,CH,59
tm1019177,DE,17
ts83450,TW,47
tm902330,GB,3
tm326624,GB,3
tm326624,US,2
tm326624,DK,40
tm426994,IN,4
tm814861,IN,4
tm447159,US,2
tm447159,FR,5
tm447159,SE,42
tm447159,GB,3
tm447159,DE,17
tm447159,DK,40
tm447159,CA,20
tm306301,FR,5
tm306301,US,2
ts56261,US,2
ts55781,BE,14
ts55781,FR,5
tm439854,IN,4
tm315424,GB,3
tm315424,US,2
tm317491,IN,4
ts84398,IN,4
tm313472,AR,12
tm306680,XX,69
ts75879,US,2
ts84555,MX,27
tm365824,IN,4
tm375446,DE,17
tm375446,NO,24
tm418870,FR,5
tm418870,BE,14
tm449262,IN,4
tm526163,IN,4
tm311193,EG,1
tm307551,GB,3
tm437379,MX,27
tm437379,US,2
tm351931,GB,3
tm481620,IN,4
tm1077037,IN,4
tm1077038,IN,4
tm307698,PH,50
tm316731,US,2
tm420656,GB,3
tm420656,US,2
tm299771,FR,5
tm299790,US,2
tm313118,TR,28
ts57424,FR,5
tm456156,US,2
ts75164,US,2
tm306631,US,2
tm525645,US,2
tm307383,FR,5
tm307383,PS,21
tm307383,CH,59
tm307383,QA,52
tm949309,IN,4
tm949309,SG,74
tm949309,US,2
tm241990,JP,9
tm325433,AR,12
